Designator,Mid X,Mid Y,Layer,Rotation
D2,33.835,-65.33,bottom,0
D3,33.815,-63.25,bottom,0
D4,33.805,-61.15,bottom,0
J7,13.25,-76.5175,bottom,90
R10,36.725,-65.61,bottom,0
R11,36.645,-63.23,bottom,0
R12,36.7325,-61.12,bottom,0
C1,40.86,-84.2,top,90
C2,40.87,-80.03,top,-90
C4,37.592,-80.264,top,180
C5,24.75,-81.58,top,0
C6,27.34,-75.93,top,-90
C7,31.85,-75.34,top,90
C8,24.21,-80.54,top,180
C9,28.125,-86.95,top,-90
C10,37.33,-81.64,top,0
C11,33.02,-87.63,top,-45
C12,54.3175,-60.81,top,0
C13,59.4075,-60.83,top,180
C14,26.3,-76.78,top,-90
C15,28.5,-75.66,top,90
C16,60.6825,-68,top,180
C17,90.686,-84.9825,top,90
C18,21.72,-56.24,top,90
C19,72.39,-70.6,top,180
C20,71.48,-80.84,top,180
C21,68.6,-79.47,top,-90
C22,58.3,-80,top,-90
C23,67.05,-80,top,-90
C24,56.79,-79.75,top,-90
C26,72.75,-72.75,top,180
D1,22.16,-92.56,top,180
D5,75.4,-81.4,top,-90
D7,75.4,-84.7,top,-90
IC1,30.9164,-81.65,top,90
IC2,57,-56,top,0
J1,108.69,-72.354999,top,90
J3,108.52,-91.024999,top,90
J6,39.75,-107,top,0
J8,92.855,-63.85,top,0
J10,29.61,-47.99,top,90
L1,68.6625,-68.25,top,180
Q1,88.25,-86.97,top,180
R1,38.8475,-77.5,top,180
R2,38.37,-82.73,top,180
R3,19.273128,-89.093128,top,-45
R4,18.527504,-89.817504,top,135
R5,25.245,-77.975,top,135
R6,24.545,-78.825,top,-45
R7,20.625,-90.975,top,0
R8,33.02,-89.662,top,135
R9,46.09,-98.46,top,0
R13,60.1744,-73.169796,top,180
R14,95.7402,-85.4925,top,90
R15,59.73,-79.4375,top,-90
R16,59.69,-77.47,top,-90
R19,73.55,-84.6625,top,90
R20,67.5,-74.75,top,180
R21,65.75,-72.0975,top,90
SW1,22.99,-95.55,top,0
SW2,51.28,-97.72,top,0
U1,21.941852,-86.881066,top,135
U2,49.47,-102.265,top,180
U3,60.1435,-70.340196,top,0
U4,92.87,-85.4925,top,90
U6,62.9,-84.8511,top,180
U7,68.6125,-71.55,top,270
Y1,43.4,-82.04,top,-90
