"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C24,C19,C18";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"10uF";;;
2;"C21,C20";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10uF/16V";;;
3;"R19";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"50";;;
4;"C8,C10,C7,C4,C16,C5,C15,C25,C11,C17,C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";11;"0.1uF";;;
5;"D7,D9,D1,D5";"D_SOD-323";4;"NSR0320";;;
6;"J8";"MOLEX_504050-0291";1;"FC to EPS Connector";;;
7;"R13";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"0.065";;;
8;"C2,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"27pF";;;
9;"R7,R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"1K";;;
10;"U4,U3";"SOT-23-5";2;"INA180A3";;;
11;",,";"";3;"";;;
12;"R18,R3,R1,R9,R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";5;"10k";;;
13;"R5,R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"27.4";;;
14;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Cam_Conn";;;
15;"J1";"Molex_Pico_CON_5040500691";1;"Cam_PicoLock";;;
16;"J15";"PinHeader_1x06_P2.54mm_Vertical";1;"SWC";;;
17;"R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10k";;;
18;"IC1";"custom_IC57_RP2040";1;"RP2040_QFN56";;;
19;"J4";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"usb jumper";;;
20;"C23,C14,C6,C22";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";4;"1uF";;;
21;"J12";"PinHeader_1x02_P2.54mm_Vertical";1;"FC Breakout";;;
22;"Q1";"SC-59";1;"Q_PMOS_GSD";;;
23;"U1";"WDFN-8-1EP_6x5mm_P1.27mm_EP3.4x4mm";1;"W25Q128JVPIQ TR";;;
24;"C13";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22uF";;;
25;"J10";"MOLEX_503398-1892";1;"503398-1892";;;
26;"U6";"CON30_1X30_DRB_XF2C_TYC";1;"~";;;
27;"J3";"Molex_Pico_CON_5040500491";1;"Antenna_Conn";;;
28;"R17";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100k";;;
29;"R15,R16";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"300k";;;
30;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"ABLS-12.000MHZ-B2-T";;;
31;"IC2";"SOT230P700X180-4N";1;"AZ1117CH-3.3TRG1";;;
32;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX706RESA";;;
33;"SW2,SW1";"SW_Push_1P1T_NO_CK_KMR2";2;"KMR2";;;
34;"J2,J5";"MountingHoles";2;"";;;
35;"J6";"Molex_Pico_CON_5040500691";1;"Breakout";;;
36;"U5";"SOT-23-5_HandSoldering";1;"FAN5331SX";;;
37;"L1";"L_1008_2520Metric_Pad1.43x2.20mm_HandSolder";1;"10uH/1A";;;
38;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"DNF";;;
39;"C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
40;"R10,R12";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"220";;;
41;"D2,D3,D4";"LED_0805_2012Metric";3;"LED";;;
42;"J_Burn";"Burn_Wire_Connection";1;"Conn_01x02";;;
43;"J7";"MOLEX_105164-0001";1;"Molex_Micro_USB";;;
44;"R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"470";;;
